bbl loader
Begin initializing arrays
Initialized arrays
Warmup Run
Begin test
In ATOM_INIT: Loaded AMU table
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
IN ATOM_SELECT: Returned from bc_atom_select
